FPOI BLOCk,LAT,LONG,LAT,LONG
AMBALAPPUZHA,9.40597,76.35058,9.40633,76.35110
AMBALAPPUZHA,9.38293,76.35572,9.38353,76.35590
AMBALAPPUZHA,9.43647,76.34446,9.45094,76.34243
ARYAD,9.57197,76.34708,9.54046,76.34255
ARYAD,9.60374,76.35898,9.57108,76.34763
BHARANICAVU,9.17532,76.56168,9.17735,76.55344
BHARANICAVU,9.18783,76.59650,9.19798,76.59788
BHARANICAVU,9.14569,76.61649,9.14514,76.61471
BHARANICAVU,9.17593,76.63622,9.19359,76.63638
BHARANICAVU,9.12861,76.55682,9.17517,76.63955
CHAMPAKULAM,9.43540,76.42005,9.43548,76.42207
CHAMPAKULAM,9.47808,76.38613,9.36600,76.47618
CHAMPAKULAM,9.40261,76.40981,9.47858,76.38683
CHAMPAKULAM,9.37206,76.41125,9.40223,76.41136
CHENGANNUR,9.27587,76.58650,9.28624,76.60863
CHENGANNUR,9.30142,76.58712,9.27547,76.59275
CHENGANNUR,9.24663,76.61452,9.30402,76.58765
CHENGANNUR,9.29927,76.63454,9.24606,76.61466
CHENGANNUR,9.30935,76.56378,9.29174,76.64766
CHENGANNUR,9.33850,76.57710,9.29187,76.55364
HARIPPAD,9.28494,76.45455,9.30237,76.44478
HARIPPAD,9.25687,76.45025,9.28303,76.45428
HARIPPAD,9.31674,76.42937,9.26131,76.44973
HARIPPAD,9.28005,76.47550,9.31538,76.42789
HARIPPAD,9.25915,76.40881,9.28351,76.44012
HARIPPAD,9.33001,76.46338,9.27958,76.47802
KANJIKKUZHY,9.62152,76.33193,9.61310,76.36263
KANJIKKUZHY,9.65914,76.31814,9.62211,76.34264
KANJIKKUZHY,9.70379,76.31731,9.61137,76.32967
KANJIKKUZHY,9.67935,76.37679,9.65217,76.31783
MAVELIKKARA,9.27922,76.53384,9.28072,76.52700
MAVELIKKARA,9.22772,76.51522,9.22886,76.51711
MAVELIKKARA,9.29976,76.53550,9.21764,76.55166
MAVELIKKARA,9.24395,76.58533,9.23612,76.58855
MUTHUKULAM,9.23823,76.47110,9.20170,76.43613
MUTHUKULAM,9.17589,76.47305,9.24110,76.46989
MUTHUKULAM,9.15308,76.52637,9.14811,76.49696
MUTHUKULAM,9.21371,76.46156,9.17628,76.47353
MUTHUKULAM,9.20629,76.49452,9.15149,76.52432
PATTANAKKAD,9.73614,76.31849,9.70349,76.31407
PATTANAKKAD,9.75651,76.31834,9.73240,76.31862
PATTANAKKAD,9.79687,76.31584,9.72223,76.34062
PATTANAKKAD,9.86723,76.30528,9.75722,76.31825
THYCATTUSSERY,9.73991,76.36275,9.74110,76.36283
THYCATTUSSERY,9.77332,76.35295,9.77344,76.34242
THYCATTUSSERY,9.81674,76.35036,9.81623,76.35132
THYCATTUSSERY,9.86162,76.32359,9.84247,76.35922
VELIYANAD,9.40927,76.49857,9.47263,76.46090
VELIYANAD,9.49103,76.49721,9.40068,76.49949
VELIYANAD,9.44958,76.44792,9.49103,76.49721
VELIYANAD,9.42279,76.46915,9.44978,76.44809
VELIYANAD,9.42573,76.48811,9.42348,76.46635
ALANGAD,10.07528,76.27139,10.11806,76.28528
ALANGAD,10.12931,76.30036,10.09591,76.31796
ANGAMALI,10.22077,76.41289,10.23993,76.37275
ANGAMALI,10.20591,76.42180,10.21904,76.41267
ANGAMALI,10.16673,76.43752,10.20512,76.42167
ANGAMALI,10.20444,76.45250,10.16713,76.43633
ANGAMALI,10.14529,76.42611,10.20450,76.45190
ANGAMALI,10.25373,76.47826,10.14576,76.42598
EDAPPALLY,10.03942,76.27855,10.04029,76.27952
EDAPPALLY,10.01871,76.22573,10.05261,76.26109
KOOVAPPADY,10.09333,76.55694,10.09460,76.55649
KOOVAPPADY,10.14944,76.48167,10.15304,76.48218
KOOVAPPADY,10.15232,76.52644,10.13108,76.52904
KOOVAPPADY,10.08530,76.50220,10.15380,76.45330
KOOVAPPADY,10.14186,76.53553,10.08506,76.51959
KOOVAPPADY,10.08338,76.46595,10.14590,76.54055
KOTHAMANGALAM,10.11859,76.59183,10.10418,76.66304
KOTHAMANGALAM,10.15158,76.73574,10.05884,76.68036
KOTHAMANGALAM,10.07023,76.60406,10.11778,76.58982
KOTHAMANGALAM,10.00561,76.68254,10.15149,76.73562
KOTHAMANGALAM,10.02643,76.65762,10.07788,76.58983
KOTHAMANGALAM,10.10515,76.62444,10.00532,76.71023
KOTHAMANGALAM,10.00941,76.68075,10.03052,76.68178
KOTHAMANGALAM,10.01517,76.62726,10.10501,76.62391
MUVATTUPUZHA,9.93397,76.59908,9.95791,76.62489
MUVATTUPUZHA,9.98272,76.63851,9.93250,76.59918
MUVATTUPUZHA,9.94499,76.64359,9.98516,76.63812
MUVATTUPUZHA,9.96570,76.66832,9.94423,76.64105
MUVATTUPUZHA,9.95299,76.55478,9.96991,76.67178
MUVATTUPUZHA,9.97863,76.53509,10.02078,76.56159
MUVATTUPUZHA,9.96011,76.62035,9.95584,76.56014
PAMPAKUDA,9.83012,76.54274,9.91400,76.45768
PAMPAKUDA,9.85723,76.59408,9.83086,76.54057
PAMPAKUDA,9.86173,76.59573,9.86173,76.59573
PAMPAKUDA,9.92031,76.52061,9.88122,76.60651
PAMPAKUDA,9.92032,76.52061,9.91883,76.52136
PAMPAKUDA,9.94419,76.48991,9.87761,76.48495
PAMPAKUDA,9.89197,76.56361,9.94272,76.48168
PARAKKADAV,10.15598,76.35380,10.15591,76.29513
PARAKKADAV,10.18734,76.32857,10.16223,76.36914
PARAKKADAV,10.18861,76.24706,10.18803,76.32842
VADAVUCODE,9.97889,76.47500,9.98297,76.47639
VADAVUCODE,10.02466,76.40349,10.02489,76.40552
VADAVUCODE,10.03776,76.50353,10.03478,76.50192
VADAVUCODE,9.95819,76.44614,9.96513,76.44459
VADAVUCODE,9.93436,76.42464,9.93396,76.42506
VAZHAKKULAM,10.08779,76.34296,10.08836,76.34339
VAZHAKKULAM,10.03648,76.40755,10.07228,76.38112
VAZHAKKULAM,10.11213,76.42495,10.10278,76.38806
VAZHAKKULAM,10.08338,76.46595,10.03667,76.40750
VYPEEN,10.09407,76.20688,10.01819,76.22591
VYPEEN,10.11070,76.20305,10.02449,76.25719
VYPEEN,10.05679,76.21488,10.09080,76.20907
VYPEEN,10.13865,76.19554,10.10987,76.20299
AZHUTHA,9.63240,76.97816,9.63096,76.97879
AZHUTHA,9.55299,76.92631,9.57574,76.89381
AZHUTHA,9.57159,76.99407,9.60541,77.16526
AZHUTHA,9.56969,77.08729,9.55352,76.92549
AZHUTHA,9.54037,76.90485,9.57315,76.99201
DEVIKULAM,10.10810,77.13364,10.04064,77.17268
DEVIKULAM,10.12450,76.92422,10.10506,77.12701
DEVIKULAM,10.21583,77.19670,10.12600,76.92500
DEVIKULAM,10.27861,77.16949,10.21529,77.19491
DEVIKULAM,9.96263,77.21701,10.27653,77.16262
DEVIKULAM,10.08621,77.05943,9.96532,77.21578
DEVIKULAM,10.18413,77.25889,10.08537,77.05926
ELEMDESAM,9.88082,76.76825,9.88243,76.76519
ELEMDESAM,9.94855,76.76509,9.92080,76.77834
ELEMDESAM,9.98917,76.79139,9.94813,76.76505
IDUKKI,9.95204,76.93336,9.95254,76.93400
IDUKKI,9.80405,76.83957,9.79121,76.85216
IDUKKI,9.84014,77.03638,9.83976,77.03467
IDUKKI,9.85623,76.98983,9.85651,76.98777
IDUKKI,9.91173,77.00944,9.91409,77.00825
IDUKKI,9.87443,76.95992,9.87447,76.95916
KATTAPPANA,9.65939,77.15871,9.66456,77.15747
KATTAPPANA,9.69682,77.03971,9.69828,77.03992
KATTAPPANA,9.79494,77.10758,9.73853,77.06223
KATTAPPANA,9.73833,77.06223,9.75431,77.11583
KATTAPPANA,9.75347,77.11592,9.69947,77.02109
KATTAPPANA,9.70107,77.02136,9.72289,77.12312
NEDUMKANDOM,9.77336,77.21546,9.83427,77.15893
NEDUMKANDOM,9.89979,77.17593,9.78021,77.20658
NEDUMKANDOM,9.94914,77.18105,9.89980,77.17791
NEDUMKANDOM,9.96093,77.09673,9.95004,77.18015
NEDUMKANDOM,9.96750,77.15667,9.96864,77.15271
NEDUMKANDOM,9.80482,77.15865,9.79940,77.16128
THODUPUZHA,9.84155,76.74464,9.83956,76.74606
THODUPUZHA,9.88329,76.64150,9.88297,76.64230
THODUPUZHA,9.89283,76.74517,9.89339,76.74526
THODUPUZHA,9.93406,76.71235,9.93750,76.70847
THODUPUZHA,9.85694,76.69028,9.85289,76.68607
EDAKKAD,11.90042,75.43067,11.89983,75.43089
EDAKKAD,11.86627,75.40214,11.87723,75.45687
EDAKKAD,11.88236,75.40164,11.84587,75.41694
EDAKKAD,11.83395,75.45293,11.88638,75.40370
EDAKKAD,11.97108,75.40938,11.83440,75.45296
EDAKKAD,11.91404,75.45716,11.91226,75.45546
EDAKKAD,11.83193,75.48356,11.92834,75.52731
IRIKKUR,12.09497,75.54845,11.97233,75.40938
IRIKKUR,11.98572,75.55195,12.09501,75.54652
IRIKKUR,12.01876,75.48788,11.98495,75.55082
IRIKKUR,11.99406,75.45288,11.95850,75.47431
IRIKKUR,12.06062,75.58157,12.01876,75.48788
IRIKKUR,12.04541,75.50514,11.99264,75.45131
IRIKKUR,12.04086,75.66039,11.99837,75.62802
IRIKKUR,12.00204,75.62782,12.06068,75.58124
IRITTY,11.99566,75.72144,11.99676,75.72643
IRITTY,12.03413,75.74686,12.03236,75.74512
IRITTY,11.92905,75.52521,11.96413,75.65553
IRITTY,11.96125,75.65280,11.94123,75.50500
IRITTY,11.93460,75.50407,12.00286,75.68956
IRITTY,12.00474,75.69124,11.92860,75.66010
KALLIASSERI,11.99614,75.29441,11.99646,75.29441
KALLIASSERI,12.07811,75.26058,12.07123,75.25962
KALLIASSERI,12.03814,75.29617,12.03821,75.29293
KALLIASSERI,12.02222,75.26892,11.98594,75.31177
KALLIASSERI,11.97325,75.28606,12.02435,75.26678
KALLIASSERI,11.97135,75.36263,11.97356,75.28573
KALLIASSERI,11.93888,75.40429,11.97025,75.36166
KANNUR,11.93049,75.32851,11.92039,75.33601
KANNUR,11.91729,75.35674,11.91372,75.35840
KANNUR,11.88916,75.36167,11.88921,75.36152
KANNUR,11.94621,75.35448,11.89652,75.38469
KANNUR,11.90186,75.38688,11.92813,75.34703
KUTHUPARAMBA,11.84767,75.63326,11.84610,75.64334
KUTHUPARAMBA,11.80863,75.55048,11.80856,75.54994
KUTHUPARAMBA,11.75113,75.62328,11.75562,75.61346
KUTHUPARAMBA,11.87148,75.57281,11.86164,75.56255
KUTHUPARAMBA,11.79869,75.56286,11.79912,75.56276
PANOOR,11.72678,75.55531,11.72879,75.55290
PANOOR,11.78742,75.53121,11.78578,75.53269
PANOOR,11.69536,75.57821,11.69708,75.58319
PANOOR,11.78614,75.56903,11.78406,75.57065
PANOOR,11.75982,75.57714,11.75201,75.55456
PANOOR,11.72743,75.59334,11.75940,75.58018
PAYYANNUR,12.27126,75.36067,12.27452,75.36427
PAYYANNUR,12.13677,75.30199,12.13366,75.30025
PAYYANNUR,12.17706,75.24710,12.17860,75.24739
PAYYANNUR,12.17597,75.19212,12.17343,75.19363
PAYYANNUR,12.07945,75.24112,12.07965,75.24017
PAYYANNUR,12.06444,75.18981,12.22425,75.31554
PERAVOOR,11.90721,75.77155,11.90641,75.78509
PERAVOOR,11.90641,75.78509,11.89447,75.80939
PERAVOOR,11.85418,75.69870,11.85272,75.69662
PERAVOOR,11.89447,75.80939,11.88015,75.84737
PERAVOOR,11.89361,75.74134,11.90175,75.73399
PERAVOOR,11.89363,75.62821,11.89242,75.62699
PERAVOOR,11.93775,75.70678,11.93809,75.70554
TALIPARAMBA,12.04228,75.48959,11.94822,75.35483
TALIPARAMBA,12.03994,75.41099,12.04392,75.49080
TALIPARAMBA,12.06974,75.33162,12.04031,75.41151
TALIPARAMBA,12.02772,75.32607,12.06902,75.33162
TALIPARAMBA,12.19929,75.46154,12.02718,75.32659
TALIPARAMBA,12.12814,75.41213,12.19849,75.45814
TALIPARAMBA,12.12146,75.48341,12.12721,75.41499
TALIPARAMBA,12.22883,75.48066,12.12084,75.48214
THALASSERY,11.77524,75.46955,11.83257,75.48335
THALASSERY,11.77439,75.51150,11.77501,75.46970
THALASSERY,11.81365,75.43829,11.77476,75.51271
THALASSERY,11.80933,75.49231,11.80856,75.49391
THALASSERY,11.88625,75.48581,11.71054,75.53935
THALASSERY,11.71161,75.53487,11.86451,75.50964
KANHANGAD,12.34343,75.08951,12.33999,75.08928
KANHANGAD,12.31800,75.14765,12.30004,75.13660
KANHANGAD,12.37943,75.10025,12.38856,75.04311
KANHANGAD,12.43008,75.02312,12.38257,75.10085
KARADKA,12.46122,75.16453,12.46120,75.16628
KARADKA,12.59124,75.17479,12.59146,75.17449
KARADKA,12.54989,75.25063,12.55414,75.24584
KARADKA,12.54629,75.16778,12.54909,75.16524
KARADKA,12.54909,75.16524,12.57110,75.11090
KARADKA,12.47707,75.21016,12.47746,75.21173
KARADKA,12.50788,75.09566,12.50903,75.09555
KASARGOD,12.58811,75.07104,12.58551,75.07417
KASARGOD,12.46629,75.00668,12.48089,75.03083
KASARGOD,12.51094,75.05146,12.50963,75.05257
KASARGOD,12.59106,74.94740,12.59497,74.94402
KASARGOD,12.54170,75.00080,12.54035,75.00030
KASARGOD,12.52289,74.97234,12.53960,74.96380
MANJESHWAR,12.64640,75.10640,12.64640,75.10790
MANJESHWAR,12.67046,74.91148,12.65796,74.91897
MANJESHWAR,12.73205,74.88395,12.71563,74.88926
MANJESHWAR,12.71310,74.95249,12.71332,74.95332
MANJESHWAR,12.68722,74.98742,12.68688,74.98306
MANJESHWAR,12.61494,75.01024,12.62141,75.00832
MANJESHWAR,12.75066,74.94859,12.75389,74.94730
NILESHWAR,12.23910,75.23210,12.21590,75.16090
NILESHWAR,12.17610,75.14750,12.23690,75.23030
NILESHWAR,12.19700,75.16390,12.16990,75.15030
NILESHWAR,12.13750,75.17750,12.19110,75.16740
PARAPPA,12.38580,75.28040,12.38530,75.28240
PARAPPA,12.32200,75.35790,12.32330,75.35900
PARAPPA,12.42980,75.26690,12.42920,75.26610
PARAPPA,12.28860,75.23460,12.28750,75.24830
PARAPPA,12.39100,75.19350,12.39070,75.19570
PARAPPA,12.45570,75.36080,12.45560,75.36580
PARAPPA,12.32000,75.28630,12.32150,75.28770
ANCHAL,8.88770,76.96018,8.89211,76.95203
ANCHAL,8.93140,76.91400,8.92870,76.91418
ANCHAL,8.92427,76.90034,8.97082,77.09732
ANCHAL,8.98634,76.90977,8.92089,76.89497
ANCHAL,8.90914,77.05460,8.90721,77.05451
ANCHAL,8.96778,77.07036,8.96609,77.06958
ANCHAL,8.93715,76.94720,8.93632,76.94612
CHADAYAMANGALAM,8.87382,76.87132,8.87136,76.86932
CHADAYAMANGALAM,8.81500,76.96953,8.81423,76.97411
CHADAYAMANGALAM,8.90271,76.82195,8.90029,76.83197
CHADAYAMANGALAM,8.87052,76.92078,8.86761,76.90739
CHADAYAMANGALAM,8.82643,76.91758,8.82649,76.91763
CHADAYAMANGALAM,8.78774,76.94076,8.78942,76.94026
CHADAYAMANGALAM,8.82326,76.88293,8.82276,76.88322
CHADAYAMANGALAM,8.87451,76.78075,8.87446,76.77614
CHAVARA,8.98085,76.53473,8.98002,76.53772
CHAVARA,8.95764,76.53305,8.95559,76.53418
CHAVARA,9.01165,76.53787,9.01132,76.54170
CHAVARA,8.95434,76.56185,8.96045,76.56363
CHAVARA,9.01216,76.57500,9.01365,76.57449
CHITTUMALA,9.01730,76.65255,9.01742,76.65293
CHITTUMALA,8.95807,76.67184,8.96069,76.67259
CHITTUMALA,9.00424,76.62988,9.00246,76.63038
CHITTUMALA,8.93613,76.61133,8.93759,76.61739
CHITTUMALA,8.98155,76.67153,8.98266,76.67132
CHITTUMALA,8.94775,76.63812,8.94860,76.63746
CHITTUMALA,8.92616,76.59857,8.92842,76.60139
CHITTUMALA,8.95522,76.60096,8.95100,76.60023
ITHIKKARA,8.86324,76.70938,8.86315,76.71511
ITHIKKARA,8.83356,76.74447,8.83194,76.74622
ITHIKKARA,8.81634,76.69608,8.82509,76.71498
KOTTARAKKARA,8.98056,76.71355,8.98034,76.72018
KOTTARAKKARA,9.00420,76.78131,8.95180,76.72026
KOTTARAKKARA,8.99611,76.75338,9.00515,76.77932
KOTTARAKKARA,8.90952,76.76427,8.99703,76.75260
KOTTARAKKARA,8.93873,76.77129,8.90851,76.76221
MUKHATHALA,8.95446,76.66922,8.95581,76.67146
MUKHATHALA,8.91590,76.63329,8.90638,76.63660
MUKHATHALA,8.90714,76.69161,8.84064,76.64693
MUKHATHALA,8.89706,76.66752,8.89888,76.66656
OACHIRA,9.06774,76.49593,9.11118,76.50912
OACHIRA,9.09355,76.50475,9.13219,76.51289
OACHIRA,9.13204,76.51247,9.08905,76.56113
OACHIRA,9.08820,76.56372,9.06729,76.55951
PATHANAPURAM,9.08753,76.85554,8.98626,76.90960
PATHANAPURAM,9.05686,76.91396,9.08819,76.85577
PATHANAPURAM,9.02781,76.86259,9.07686,76.79654
SASTHAMCOTTAH,9.06300,76.67410,9.06075,76.67655
SASTHAMCOTTAH,9.04175,76.59039,9.04193,76.58953
SASTHAMCOTTAH,9.08025,76.67252,9.07494,76.66066
SASTHAMCOTTAH,9.04380,76.62425,9.04366,76.62653
SASTHAMCOTTAH,9.10112,76.61725,9.10275,76.61973
SASTHAMCOTTAH,9.07453,76.60619,9.07476,76.60453
VETTIKKAVALA,9.05649,76.73355,9.05583,76.73150
VETTIKKAVALA,9.01391,76.82562,9.01305,76.82478
VETTIKKAVALA,9.02989,76.78612,9.02993,76.78616
VETTIKKAVALA,9.05528,76.69531,9.05426,76.69821
VETTIKKAVALA,8.93380,76.81520,8.93354,76.81649
VETTIKKAVALA,8.98692,76.83562,8.99392,76.83058
ERATTUPETTA,9.68607,76.78127,9.68760,76.77983
ERATTUPETTA,9.67382,76.81278,9.66118,76.77890
ERATTUPETTA,9.67415,76.79495,9.74787,76.78493
ERATTUPETTA,9.69928,76.81770,9.67360,76.81360
ERATTUPETTA,9.78197,76.76343,9.67340,76.79558
ERATTUPETTA,9.66828,76.77950,9.58972,76.52047
ERATTUPETTA,9.74510,76.78337,9.72322,76.80955
ERATTUPETTA,9.70032,76.75830,9.70693,76.76142
ETTUMANOOR,9.63052,76.50955,9.64288,76.50882
ETTUMANOOR,9.66763,76.53280,9.66915,76.53818
ETTUMANOOR,9.61972,76.51052,9.61243,76.49832
ETTUMANOOR,9.67362,76.55717,9.67048,76.55562
ETTUMANOOR,9.59503,76.43052,9.68683,76.50502
KADUTHURUTHY,9.76520,76.49247,9.76555,76.49298
KADUTHURUTHY,9.71373,76.47557,9.70842,76.47678
KADUTHURUTHY,9.82767,76.49925,9.82790,76.49830
KADUTHURUTHY,9.79017,76.52352,9.78990,76.52325
KADUTHURUTHY,9.78675,76.45223,9.78535,76.44672
KADUTHURUTHY,9.82845,76.45095,9.83002,76.45195
KANJIRAPPALLY,9.48108,76.84618,9.48118,76.84557
KANJIRAPPALLY,9.55450,76.79018,9.55353,76.78997
KANJIRAPPALLY,9.58425,76.88312,9.58450,76.88683
KANJIRAPPALLY,9.46810,76.96232,9.46710,76.96315
KANJIRAPPALLY,9.48962,76.75312,9.48378,76.76747
KANJIRAPPALLY,9.53770,76.88682,9.53830,76.88592
KANJIRAPPALLY,9.56982,76.81540,9.56710,76.81385
LALAM,9.70040,76.72803,9.70087,76.72820
LALAM,9.76497,76.70303,9.77950,76.70163
LALAM,9.72403,76.67908,9.73738,76.66975
LALAM,9.65737,76.66348,9.65617,76.66333
LALAM,9.68353,76.72208,9.68297,76.72232
LALAM,9.69255,76.65760,9.69277,76.65715
MADAPPALLY,9.48060,76.59700,9.48125,76.59723
MADAPPALLY,9.42530,76.56260,9.42632,76.56142
MADAPPALLY,9.44488,76.57367,9.43827,76.56495
MADAPPALLY,9.51930,76.57050,9.52180,76.57267
MADAPPALLY,9.45955,76.55370,9.46057,76.55210
PALLOM,9.63262,76.60505,9.59248,76.43558
PALLOM,9.49498,76.52767,9.58117,76.47785
PALLOM,9.52955,76.53927,9.52902,76.54128
PALLOM,9.55733,76.57217,9.55513,76.57235
PAMPADY,9.62675,76.67370,9.63527,76.60513
PAMPADY,9.59782,76.64675,9.59143,76.56458
PAMPADY,9.58660,76.58352,9.62715,76.67353
PAMPADY,9.54995,76.60868,9.59707,76.64742
PAMPADY,9.60230,76.68317,9.58802,76.58317
PAMPADY,9.56755,76.63937,9.54902,76.60708
UZHAVOOR,9.71597,76.55927,9.71490,76.60888
UZHAVOOR,9.75495,76.56150,9.71602,76.55897
UZHAVOOR,9.74273,76.61148,9.75752,76.56053
UZHAVOOR,9.79900,76.66450,9.74268,76.61192
UZHAVOOR,9.79190,76.61065,9.80245,76.66182
UZHAVOOR,9.82863,76.60705,9.79183,76.61067
UZHAVOOR,9.68407,76.60652,9.82180,76.60843
VAIKOM,9.72145,76.41622,9.81533,76.42365
VAIKOM,9.70740,76.39170,9.79388,76.41800
VAIKOM,9.76783,76.41680,9.71538,76.41723
VAIKOM,9.68845,76.42012,9.71188,76.39213
VAIKOM,9.82618,76.42902,9.76572,76.41498
VAZHOOR,9.56405,76.75750,9.56313,76.76205
VAZHOOR,9.50070,76.63735,9.50935,76.69237
VAZHOOR,9.50792,76.66292,9.50937,76.66597
VAZHOOR,9.56643,76.70233,9.56650,76.70672
BALUSSERI,11.44623,75.84451,11.45503,75.84259
BALUSSERI,11.44628,75.83499,11.44757,75.82987
BALUSSERI,11.49668,75.81402,11.49563,75.81622
BALUSSERI,11.48506,75.77521,11.48572,75.77605
BALUSSERI,11.45019,75.77129,11.45057,75.77261
BALUSSERI,11.54002,75.84276,11.54018,75.84299
BALUSSERI,11.44335,75.87791,11.44290,75.88058
CHELANNUR,11.35676,75.80733,11.35693,75.80449
CHELANNUR,11.41843,75.83135,11.42192,75.83141
CHELANNUR,11.37069,75.86475,11.36720,75.86392
CHELANNUR,11.35170,75.76138,11.35310,75.75916
CHELANNUR,11.31314,75.79935,11.31372,75.79839
CHELANNUR,11.38404,75.82119,11.38642,75.82375
KODUVALLY,11.36287,75.90977,11.36144,75.91035
KODUVALLY,11.36570,75.96351,11.36374,75.96454
KODUVALLY,11.36128,76.01193,11.36372,76.01025
KODUVALLY,11.34795,76.03899,11.34817,76.03608
KODUVALLY,11.43207,76.00477,11.48004,75.97432
KODUVALLY,11.48001,75.97413,11.40963,75.93649
KODUVALLY,11.40956,75.93529,11.48700,75.91338
KODUVALLY,11.48615,75.91441,11.37229,75.88972
KODUVALLY,11.36045,75.88890,11.35540,75.86907
KOZHIKODE,11.22855,75.83228,11.22854,75.83302
KOZHIKODE,11.17780,75.86715,11.17879,75.86984
